Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Singapore,2026-04-24 23:06:21,2026-04-24 23:12:43,6.4,77.7
Svalbard,2026-04-24 23:24:51,2026-04-24 23:36:51,12.0,61.2
Kiruna,2026-04-24 23:25:03,2026-04-24 23:34:46,9.7,19.4
Wallops,2026-04-24 23:39:24,2026-04-24 23:51:21,11.9,63.3
Ponce de Leon,2026-04-24 23:42:00,2026-04-24 23:54:03,12.0,81.9
Merrit Island,2026-04-24 23:42:08,2026-04-24 23:54:10,12.0,78.6
White Sands,2026-04-24 23:46:23,2026-04-24 23:49:16,2.9,5.7
Santiago,2026-04-25 00:03:15,2026-04-25 00:06:26,3.2,5.9
McMurdo,2026-04-25 00:15:38,2026-04-25 00:27:47,12.1,59.0
Kiruna,2026-04-25 01:01:59,2026-04-25 01:12:58,11.0,30.2
Svalbard,2026-04-25 01:03:22,2026-04-25 01:15:29,12.1,75.2
White Sands,2026-04-25 01:21:00,2026-04-25 01:33:04,12.1,85.0
Wallops,2026-04-25 01:21:08,2026-04-25 01:24:57,3.8,6.4
Ponce de Leon,2026-04-25 01:24:23,2026-04-25 01:27:21,3.0,5.8
Merrit Island,2026-04-25 01:25:07,2026-04-25 01:26:50,1.7,5.3
McMurdo,2026-04-25 01:54:04,2026-04-25 02:06:15,12.2,61.6
Kiruna,2026-04-25 02:39:38,2026-04-25 02:51:42,12.1,69.4
Svalbard,2026-04-25 02:42:14,2026-04-25 02:54:23,12.2,72.9
Gilmore Creek,2026-04-25 02:53:07,2026-04-25 03:03:05,10.0,19.2
Alaska Satellite Facility,2026-04-25 02:53:11,2026-04-25 03:03:04,9.9,18.9
