Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X48,2026-05-21 23:08:39,2026-05-21 23:17:50,550.9,39.0
ICEYE-X38,2026-05-21 23:09:23,2026-05-21 23:15:06,342.8,40.0
ICEYE-X73,2026-05-21 23:15:58,2026-05-21 23:21:52,354.4,40.0
ICEYE-X75,2026-05-21 23:17:02,2026-05-21 23:22:57,354.7,40.0
ICEYE-X72,2026-05-21 23:24:31,2026-05-21 23:30:28,356.8,40.0
ICEYE-X25,2026-05-21 23:29:27,2026-05-21 23:34:52,325.2,40.0
ICEYE-X76,2026-05-21 23:38:01,2026-05-21 23:44:03,361.6,40.0
ICEYE-X74,2026-05-21 23:42:26,2026-05-21 23:48:29,363.4,40.0
ICEYE-X71,2026-05-21 23:43:36,2026-05-21 23:49:46,369.9,39.9
ICEYE-X11,2026-05-22 00:03:38,2026-05-22 00:10:14,396.3,40.0
