Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-05-28 00:58:51,2026-05-28 03:27:14,2h 28m 23s,Svalbard,Punta Arenas
UMBRA-09,2026-05-28 00:59:26,2026-05-28 03:27:48,2h 28m 22s,Svalbard,Punta Arenas
UMBRA-11,2026-05-24 23:56:39,2026-05-25 02:24:51,2h 28m 11s,Svalbard,Punta Arenas
UMBRA-11,2026-05-28 23:58:00,2026-05-29 02:26:09,2h 28m 8s,Svalbard,Punta Arenas
UMBRA-07,2026-05-24 23:28:43,2026-05-25 01:56:52,2h 28m 8s,Svalbard,Punta Arenas
UMBRA-10,2026-05-27 01:14:12,2026-05-27 03:42:20,2h 28m 7s,Svalbard,Punta Arenas
UMBRA-09,2026-05-27 01:14:49,2026-05-27 03:42:55,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-07,2026-05-23 23:36:00,2026-05-24 02:04:03,2h 28m 3s,Svalbard,Punta Arenas
UMBRA-10,2026-05-26 01:29:31,2026-05-26 03:57:29,2h 27m 58s,Svalbard,Punta Arenas
UMBRA-09,2026-05-26 01:30:09,2026-05-26 03:58:06,2h 27m 57s,Svalbard,Punta Arenas
